year,position,artist,title
1998,88,K-Ci & JoJo,All My Life
1998,89,Apollo 440,Lost In Space
1998,90,Lauryn Hill,Doo Wop (That Thing)
1998,91,Cleopatra,Cleopatra's Theme
1998,92,Five,When The Lights Go Out
1998,93,Tin Tin Out featuring Shelley Nelson,Here's Where The Story Ends
1998,94,Aqua,Barbie Girl
1998,95,Lutricia McNeal,Ain't That Just The Way
1998,96,Celine Dion With The Bee Gees,Immortality
1998,97,Fatboy Slim,Gangster Trippin
1998,98,Chef,Chocolate Salty Balls (PS I Love You)
1998,99,The Spice Girls,Goodbye
1998,100,Will Smith,Miami
1999,1,Britney Spears,Baby One More Time
1999,2,Steps,Heartbeat / Tragedy
1999,3,Ricky Martin,Livin' La Vida Loca
1999,4,Eiffel 65,Blue (Da Ba Dee)
1999,5,Lou Bega,Mambo No 5 (A Little Bit Of...)
1999,6,Shania Twain,That Don't Impress Me Much
1999,7,ATB,9pm (Till I Come)
1999,8,DJ Jurgen Presents Alice Deejay,Better Off Alone
1999,9,Cliff Richard,The Millennium Prayer
1999,10,Christina Aguilera,Genie In A Bottle
1999,11,TLC,No Scrubs
1999,12,Shanks & Bigfoot,Sweet Like Chocolate
1999,13,The Vengaboys,"Boom, Boom, Boom, Boom!!"
1999,14,Will Smith featuring Dru Hill,Wild Wild West
1999,15,Martine McCutcheon,Perfect Moment
1999,16,Boyzone,When The Going Gets Tough
1999,17,Phats & Small,Turn Around
1999,18,S Club 7,Bring It All Back
1999,19,R Kelly,If I Could Turn Back The Hands Of Time
1999,20,Macy Gray,I Try
1999,21,Ronan Keating,When You Say Nothing At All
1999,22,Mr Oizo,Flat Beat
1999,23,Westlife,Swear It Again
1999,24,Backstreet Boys,I Want It That Way
1999,25,Whitney Houston,My Love Is Your Love
1999,26,Bryan Adams featuring Melanie C,When You're Gone
1999,27,Madonna,Beautiful Stranger
1999,28,Britney Spears,Sometimes
1999,29,Ann Lee,2 Times
1999,30,Chef,Chocolate Salty Balls (PS I Love You)
1999,31,The Spice Girls,Goodbye
1999,32,The Offspring,Pretty Fly (For A White Guy)
1999,33,The Cartoons,Witch Doctor
1999,34,Blondie,Maria
1999,35,The Vengaboys,We Like To Party! (The Vengabus)
1999,36,The New Radicals,You Get What You Give
1999,37,Whitney Houston,It's Not Right But It's Okay
1999,38,Five,Keep On Movin'
1999,39,The Wamdue Project,King Of My Castle
1999,40,Boyzone,You Needed Me
1999,41,Shania Twain,Man! I Feel Like A Woman!
1999,42,Armand Van Helden featuring Duane Harden,You Don't Know Me
1999,43,Shaft,(Mucho Mambo) Sway
1999,44,The Vengaboys,We're Going To Ibiza!
1999,45,Westlife,If I Let You Go
1999,46,Geri Halliwell,Mi Chico Latino
1999,47,Baz Luhrmann,Everybody's Free (To Wear Sunscreen)
1999,48,Cher,Believe
1999,49,Eminem,My Name Is
1999,50,S Club 7,S Club Party
1999,51,DJ Jean,The Launch
1999,52,Westlife,Flying Without Wings
1999,53,"Steps, Tina Cousins, Cleopatra, B*Witched & Billie",Thank Abba For The Music
1999,54,Fatboy Slim,Praise You
1999,55,Five,If Ya Gettin' Down
1999,56,Steps,Love's Got A Hold On My Heart
1999,57,Steps,Better Best Forgotten
1999,58,Lenny Kravitz,Fly Away
1999,59,Robbie Williams,She's The One / It's Only Us
1999,60,Jennifer Lopez,If You Had My Love
1999,61,Sixpence None The Richer,Kiss Me
1999,62,Geri Halliwell,Look At Me
1999,63,Geri Halliwell,Lift Me Up
1999,64,The Corrs,Runaway
1999,65,2Pac,Changes
1999,66,Blur,Tender
1999,67,Artful Dodger featuring Craig David,Re-Rewind The Crowd Say Bo Selecta
1999,68,Britney Spears,(You Drive Me) Crazy
1999,69,Bran Van 3000,Drinking In L.A.
1999,70,Bob Marley vs Funkstar De Luxe,Sun Is Shining
1999,71,Fatboy Slim,Right Here Right Now
1999,72,The Wiseguys,Ooh La La
1999,73,Will Smith,Will 2K
1999,74,911,A Little Bit More
1999,75,B*Witched,Blame It On The Weatherman
1999,76,Cher,Strong Enough
1999,77,Basement Jaxx,Red Alert
1999,78,TLC,Unpretty
1999,79,Terrorvision,Tequilla
1999,80,The Chemical Brothers,Hey Boy Hey Girl
1999,81,The Honeyz,End Of The Line
1999,82,Alice Deejay,Back In My Life
1999,83,Westlife,I Have A Dream / Seasons In The Sun
1999,84,TQ,Westside
1999,85,Lolly,Mickey
1999,86,Enrique Iglesias,Bailamos
1999,87,DJ Sakin & Friends,Protect Your Mind (For The Love Of A Princess)
1999,88,Boyzone,Every Day I Love You
1999,89,The Offspring,Why Don't You Get A Job?
1999,90,ATB,Don't Stop
1999,91,George Michael & Mary J Blige,As
1999,92,B*Witched,To You I Belong
1999,93,Another Level / Ghostface Killah,I Want You For Myself
1999,94,Adam Rickitt,I Breathe Again
1999,95,Moloko,Sing It Back
1999,96,Tin Tin Out featuring Emma Bunton,What I Am
1999,97,B*Witched,Jesse Hold On
1999,98,Chicane featuring Maire Brennan,Saltwater
1999,99,Jamiroquai,Canned Heat
1999,100,Blockster,You Should Be...
2008,1,Basshunter featuring DJ Mental Theo's Bazzheadz,Now You're Gone
2008,2,Nickelback,Rockstar
2008,3,Duffy,Mercy
2008,4,Adele,Chasing Pavements
2008,5,Rihanna,Don't Stop The Music
2008,6,Soulja Boy Tellem,Crank That (Soulja Boy)
2008,7,Britney Spears,Piece Of Me
2008,8,H Two O featuring Platnum,What's It Gonna Be
2008,9,Timbaland featuring One Republic,Apologize
2008,10,Flo Rida featuring T-Pain,Low
2008,11,Kelly Rowland,Work
2008,12,Mark Ronson featuring Amy Winehouse,Valerie
2008,13,Leona Lewis,Bleeding Love
2008,14,OneRepublic,Stop And Stare
2008,15,Estelle featuring Kanye West,American Boy
2008,16,Take That,Rule The World
2008,17,Kylie Minogue,Wow
2008,18,Lupe Fiasco featuring Matthew Santos,Superstar
2008,19,Leon Jackson,When You Believe
2008,20,David Jordan,Sun Goes Down
2008,21,Scouting For Girls,Elvis Ain't Dead
2008,22,Girls Aloud,Call The Shots
2008,23,Alicia Keys,No One
2008,24,Leona Lewis,Better In Time / Footprints In The Sand
2008,25,Taio Cruz,Come On Girl
2008,26,One Night Only,Just For Tonight
2008,27,T2 featuring Jodie Aysha,Heartbroken
2008,28,Kanye West,Homecoming
2008,29,Utah Saints,Something Good 08
